6
Col0	INT
Col1	INT
Col2	INT
Col3	INT
Col4	INT
Col5	STR
1218	8938	5010	5316	8265	SSWENMlKXicUQs
8100	7275	5228	8889	7955	c3znin6R
6319	4794	8901	2443	710	F
9292	9252	7688	2773	5307	8LoO0Eatrcrn
3087	5288	9046	2199	2315	Hd6SgZTG3O5
8898	1202	5350	3081	8731	mycFueh
5874	9283	820	7476	6735	U1
3113	4288	1049	1940	5921	g72c6RZYDg
3309	9504	6639	3248	2284	HO6XBHhG7Q
3240	9779	8345	4420	2463	CB
220	4269	1355	8009	1369	QCIWC4bCkPAfzTt
5962	5017	9290	7822	6991	cy9a9JvCDHNST
8601	1223	6870	7239	9466	FH50q6PxtoNAqv
6185	149	2773	2414	1243	ljJHq3iBZMSO
5233	7680	3649	3216	3692	EyMATDU3tol1
5633	6338	3255	6440	7394	7ET8cc1p6Jq5lbqLe6y
222	2329	4771	9232	390	IBg
7	7163	7390	8401	8830	LHpgrhYogoX6S9nD9y
6616	5871	9472	7739	945	6ol7sx
6402	3084	9772	7106	1050	81rt
2765	4062	9935	1112	8480	tWbC45nVMpWO
2890	1248	2906	7971	5721	nc
2056	215	7746	3586	9540	Khushalmodiblah
6709	7279	2806	136	8570	Uq
5254	3719	5161	1509	3903	9DLhbPfkPC4klQWf2
4248	1915	4031	2195	3391	gcIRhDa
3132	6622	3655	330	241	gr9Sh
2545	3358	5253	6045	3524	LryHvT88v5nQEP
8812	8400	5662	8136	8103	syftEWXiqoV0WqWj
1579	6667	8967	4554	5523	JTgCIs4Da
7759	452	542	2048	9095	dQbntcn
2259	2982	8013	2305	8718	ZVC8Ratk4OxVKhNJ5JI
9878	7198	8991	7997	2818	0V
2783	106	909	6157	1134	rMn9GUGm
9137	9875	2568	7773	9593	s7c2Jyqr4EDbXCZ
9798	4718	9409	7739	6576	3dmlgrXaeZyDLPU7
1897	3569	9520	9255	8568	b0lMRTdJYPLLNFSZ3O
3810	7068	7901	8360	2599	LZiv4ZCgY
5569	5729	4377	1011	2584	KIltChUjSbW
3961	8135	7191	7182	9700	NUN4aqM9Q
3599	4211	6500	1047	5655	5tapLthXxT6
8466	7071	1448	3171	5018	53oUq
5457	3932	3239	876	6715	0NUFaN67cgQ2Et
8301	4172	1495	279	6757	JzhTkUV3
884	4069	2771	309	365	bc11Zb6EWCBM
5363	8059	9278	2864	9218	ibbmGMo3EiaG
1542	8635	1145	1376	8296	II7005L9
4372	1	1997	4043	1025	Khushalmodiblah
1044	6935	9892	6580	2665	g96zmWgGI5UOI3hzEf
647	2130	5811	7033	6751	bNYZ9CDRCuxgP3X
2566	3762	7418	767	521	iqoaPrqDyLQgd9l
7092	5974	7427	7372	3464	BqNUTI2zF0sO
9935	5423	8612	6401	7326	9WxBZTjO
5013	3312	1291	2436	6737	ALd7O1D9S6hEMkWMZmP
6281	9981	8260	7361	4873	lknzp
8418	7027	1032	1507	7980	nvKU
7797	9359	5901	6403	8400	MISB6
2516	4619	750	1906	2572	W4UTIdKTDX3
3865	7122	2006	1564	5829	y7T4ue
5640	7228	5101	3621	9119	ogpvDbPpRnLi
5787	6995	8640	1915	2566	aGN0Z26dePT
5901	4034	8278	2474	4419	he3YeWmHb
3171	1138	8175	9468	6587	gia
369	2318	1315	4434	7768	pba5l1TjbOP
6997	7311	4301	5011	7527	Src2BVzGP
8780	9952	8220	7025	8829	HreGXX
3716	4135	8673	1691	335	4CcrrKfLp10BcFzIzn9
2184	4430	2462	1744	5103	hhWIxIjf
6426	7987	6934	9393	350	H017lsV
7104	2681	5215	7876	4532	7CmS4lbbJTL584xmp
717	3862	512	7369	6401	qL0N
9165	64	9670	5522	9917	t
5428	825	2673	1492	9703	Gh4Lkq3b72FCmP
9559	5227	5022	362	8385	O9rAGcBzcFS2Y152WEm
7584	8157	6913	4612	3033	MacQ1RBsBG1qB
5168	5516	8769	7718	6222	Grrz7XxlYk3kqlK
9950	7412	4803	8661	5328	RSbh4
9812	3788	9898	9414	4241	XKcvPm
6641	2565	9900	9168	4556	L
8580	553	5499	3697	6751	6HbJjC
7413	7042	2038	4934	9465	QL92hI9iPRMSNIAX
6698	2193	2742	7121	7172	zN0UQGldT
2262	3423	2058	4638	9429	4MBhcY4MkrSI
2686	9365	303	6628	2016	eelIxoLZ8j32mCvz
3591	9466	1684	1220	9189	X1egLOHPsk865k
3182	8243	7367	6243	5866	G890SJo35sogKC
6904	7481	5688	9671	8237	bUqJgNdK1EZ
9732	25	4332	4152	9316	iY8La
7192	3980	5354	1447	3127	ouo6IJqgy2Inm4K
7513	8938	5044	361	3621	0V01d
768	5337	7987	5825	8884	Ir7hPNE5quiW
751	9959	3633	4996	5997	eBqfJy56PK2EZiu
1080	5158	5991	5839	3654	2
5989	8405	71	4975	9578	NvZBNvivXB
7132	2559	4939	8808	3223	LEpHkt9M
8714	2814	4242	6421	6513	u4oJdv3KT8XkdcR2h1
9791	4524	715	4792	5978	lDpSqrnUiZFHRlGRb8
2124	4399	7739	6166	6576	B
8872	6262	5841	4260	2215	pB7
9010	1684	3969	3507	8472	BhQpUvC6qhz8KX6
8114	8190	9689	3253	8989	bN2lSFaOPH064N
5420	3978	8269	6333	1280	Y1VsTgUTuKdOdlVxay
2502	8338	1273	8152	3545	OVddxKuc2zr
452	2938	8374	9297	6140	Khushalmodiblah
9372	8197	6037	9463	908	67Kn
358	7094	3340	6810	2036	aZl9uVpFdcthT
4519	3553	569	4271	7649	GQF8gfXxsdI8H
5475	7482	2841	3964	1032	o
1479	7476	9528	38	1220	oOyD
1099	7865	9609	6225	6697	LkZvVe8AXBO6sv
7152	5597	920	415	279	7trsJGpKthUY4olyLV
5264	7082	5731	3385	9579	yLG
7568	810	7704	4773	3446	QmAMxDyz3iNIf
702	5927	8168	2651	365	K
6663	9927	2785	4585	4947	UVT7oR
7200	9129	7041	5386	5970	kh9XhhqZPYs
3287	3564	401	6385	6740	qbDi2OnHQ0k
3846	9146	4238	7470	4610	OvmIyPNUrO
8163	796	3886	9798	1761	xj0UNbWmNN61ZZqz4z
5514	6224	1377	5449	1330	EguHQieefyj2V7xbZI
189	4350	9183	9665	7235	xLzbrmlJ840h1Ujc
7209	601	2033	5306	8970	XV5Wra3x
6032	258	2398	4778	590	oGQ9yy753r
295	464	9363	1145	2156	NjDRfsas3vvbs
661	5882	3825	4933	8935	IR
8962	2596	1724	4744	8458	8T3XFMUg
7129	3738	3664	819	1961	vlZHpCG8Ck3MO6uDtV
7152	473	5706	7403	7912	dZsy
5540	6998	1225	9434	3914	AdkUPAOT9
4317	2389	8473	907	3096	VK7RrpTgp2y1vS
6989	383	6982	5273	9059	l3H
2484	2768	2313	3045	6123	dM
1186	9745	7079	6147	8406	B
103	751	5957	1618	5500	aiHGd2SbLBC4TcYTu
7004	308	2276	5357	2768	cEc8J
9808	3622	2104	7467	5617	ayzRQt0RmUYm4z
8087	293	402	1455	4086	eajarWlSjNR0Jcod
2607	1921	8225	2403	5891	jN
3752	856	8447	9661	5861	h1
8982	4950	7149	6072	757	KVprWc3uBirjW7E
879	5668	7680	409	1482	vqadA49U3zv6gXKvMn
5064	4354	2620	3136	4616	csz
9188	8756	3183	2750	9673	Pr8a
1928	4502	4339	6629	5108	2MVER9zBMEZLoBVotb4
1031	6926	4138	82	817	Khushalmodiblah
4436	3605	5866	8932	6011	SIYvZXv
9512	7913	5757	4175	1173	7
218	515	1943	607	7711	1J
4254	1736	9753	4839	9357	jiHJN6dWXCtxC9l
2603	9957	5440	9093	9275	BgVqOBdxDsG0RknOdgq
1068	6229	4454	27	452	C
1300	6280	9447	3156	4294	oihhEB0oJo
262	1652	3388	4352	9443	Khushalmodiblah
6451	5416	9526	3779	6651	k
5065	8046	727	1382	3091	S5CaFKdopjQ2My9CQ
3198	4839	1218	2101	7758	z5D
5601	3263	3264	3181	841	p
7766	2463	4836	8006	2097	i16r
7260	5588	1840	1549	6834	0vIgCLRM
4434	4525	7483	131	1868	AYaNIxbn9uAFVWk
7093	6973	9431	4841	1575	Khushalmodiblah
1232	770	1782	737	8707	x6Gt
9300	5666	7394	2873	5090	GBtgSaXNB7zG
4030	193	5495	6966	5017	c
6105	6925	9074	6954	999	IxefMeKbW
5711	4711	1433	5924	1273	cDpTTcFU6CL3q
4847	4924	2433	6123	9207	Gv3B1GzDqKFzY
8849	1443	4810	2591	8685	LAJ1W
1366	5193	9511	4301	7110	GIApcvdhASpASlH
9746	2235	8876	4244	4703	PglFTHUT
945	8705	3955	4432	5524	LgLlqgM9QGTRbBPe4ty
8186	240	6510	6508	7684	6G0gGtmvCkQTsFgV
3591	5	9917	6029	497	FOQuc8S
9947	6678	1905	1780	2464	Nb99TLR4r1
5790	5993	271	9164	8594	vnVRBi6
4620	8827	7629	6338	9020	JKr
377	5758	5836	1180	1017	a9DLX4oHv
5965	6426	6426	7503	8140	2jjjUERCQoyM31
4555	4006	8400	4865	3977	M
8397	5011	4195	6515	6565	0iX0unAM
7133	5516	1950	9591	1631	rHtZVeklvAE8N
6543	9027	4029	7386	180	T5tIppI
5794	1333	6512	9433	8757	TxtvNkHtgjqSzOUmB
7186	8243	8014	9545	865	8fAP7Ru2hBG3IQ
7042	3039	2049	8724	2681	aQayQX
6215	6262	2353	244	8377	X6VhJBPXWMK0
428	7549	7134	4502	2244	iCDr63XBVGj33qBan
8725	6395	1902	1000	7618	Khushalmodiblah
6892	5668	7987	1238	269	vaCLJa8D0ei3QRs
5697	5	1167	2504	3953	a1Me243dEd9ARqvYPX
1125	9869	6410	8343	3	QJWKnFplUmMG8HKX9nD
